,song,year,artist,genre,lyrics
246539,five-feet,2007,coldplay,Rock,"it uses cloth
as a lid
for the thorns
that surrounds him
treats the glimmery wet thing
as his breathe
they let him fly
land on foam
rage,rage
thats what he create
a long flowing river
who devours floating stuffs
it became the center of attraction
amuses them without noticing
the prairie demands of him
everybody who smells"
246540,harmless,2007,coldplay,Rock,"So I heard you say
I got your getaway
I'm on a second trail
As clear as crystal
But it was harmless
It couldn't hurt you
Oh, you were helpless
I know you'll get through"
246541,why-does-it-always-rain-on-me,2007,coldplay,Rock,"I can't sleep tonight
Everybody's saying that it's alright
Still I can't close my eyes
I'm seeing a tunnel at the end of all these lights
Sunny days
Where have you gone?
I get the strangest feeling
You belong
Why does it always rain on me?
Is it because I lied when I was seventeen?
Why does it always rain on me?
Even when the sun is shining
I can't avoid the lightning
I can't stand myself
I'm being held up by an invisible man
Still life on a shelf when
I got my mind on something else
Sunny days
Oh, where have you gone?
I get the strangest feeling
You belong
Why does it always rain on me?
Is it because I lied when I was seventeen?
Why does it always rain on me?
Even when the sun is shining
I can't avoid the lightning
Oh, where did the blue skies go?
And why is it raining so cold?
It's so cold
I can't sleep tonight
Everybody saying that it's alright
Still I can't close my eyes
I'm seeing a tunnel at the end of all these lights
Sunny days
Oh, where have you gone?
I get the strangest feeling
You belong
Why does it always rain on me?
Is it because I lied when I was seventeen?
Why does it always rain on me?
Even when the sun is shining
I can't avoid the lightning
Oh, where did the blue skies go?
Why is it raining so cold?
So cold
Why does it always rain on me?
Is it because I lied when I was seventeen?
Why does it always rain on me?
Even when the sun is shining
I can't avoid the lightning
Why does it always rain on me?
Why does it always rain on?
Ohh"
246542,where-is-my-boy,2007,coldplay,Rock,"Where is my boy?
I saw you come out of a scene
Maybe, in some kind of dream
Somethin' that never comes
Time that I take
See over in arms, I raise
All racing to find you
All racing to find you
Time stands
I open your eyes to my world
I see you come out of it all
Unharmed and unscathed and shouting, oh
Come over here
In houses, I live in
And changes you're makin'
To the state of affairs
Callin', ""Where is my boy?""
I have seen you so often
I cry, ""Where is my boy?""
Or have you all forgotten?
And in some kind of dream
Have I seen you before?
Oh, have I seen you before?
Oh, where is my boy?
So, come all the way
Changin' your number
Changin' the house where you live
Change your lines
Have I seen you before
In some kind of a dream?
In a place you've forgotten
A place I've forgotten
So, where is my boy?
When I kneel in your arms
I flew awry
Where is my boy?
Have I seen you before
In some kind of a dream?
Have I seen you before
In some kind of a dream?
In my hands, you'll fall
Open in as it seems
Have I seen you before?
Oh baby
Your arms and your legs are shattered
Where is my boy [Incomprehensible]
Where is my boy?
I said, ""Where is my boy?""
Have you seen you before?
When I look in your eyes
Tell me he had to go
Seem I've seen you before
In some kind of a dream
Seems I've seen you before
In some kind of a dream
I say, ""Where is the boy?""
Have I seen you before?
Yeah, I saw you before
In some kind of a dream
I say, ""Where was my head
When I needed it most?""
Oh, I stayed here before
Yes, I stay in the place I know"
246543,hunting-high-and-low,2007,coldplay,Rock,"Here I am and beyond the reach of my hands
She sounds asleep and she's sweeter now
Than the wildest dreams could have seen her
And I watch her slipping away
And I know I'll be hunting high and low
High, there's no end to the lengths I'll go to
High and low
High, there's no end to the lengths I'll go to
Find her again upon this my dreams are depending through the dark
I can hear the pounding of her heart next to mine
She's the sweetest love I could find
So I know I'll be hunting high and low
High, there's no end to the lengths I'll go to
High and low
High, do you know how it feels to love you?
Do you know how it feels to love you?
High and low"
246544,murder,2007,coldplay,Rock,"Tie me to a tree
Tie my hands above my head
Sing a song to me
Sing a song like what you said
Cause they're gonna murder me
They're gonna take me down
Something
I crumble down
Come spit at us
Come and throw your weight around
Come and fight with us
Come and rock me to the ground
Cause they're gonna murder me
They're gonna take me down
Something
I crumble down"
246545,gravity,2007,coldplay,Rock,"Honey
It's been a long time coming
And I can't stop now
Such a long time running
And I can't stop now
Do you hear my heart beating
Can you hear that sound
'Cause I can't help thinking
That I don't look down
And then I looked up at the sun
And I could see
The way that gravity turns for you and me
And then I looked up at the sky
And saw the sun
And the way that gravity turns on everyone
On everyone
Baby
It's been a long time waiting
Such a long, long time
And I can't stop smiling
No I can't stop now
Do you hear my heart beating
Oh do you hear that sound
'Cause I can't stop crying
And I won't look down
And then I looked up at the sun
And I could see
Oh the way that gravity turns
On you and me
And then I looked at the sun
And saw the sky
And the way that gravity pulls on you and I
On you and I"
246546,ode-to-deodorant,2007,coldplay,Rock,"Here's an Ode, ah, to deodorant
It's my thing, ah it's my favourite hygiene
It keeps me through the day
Another ode, ah to deodorant
It's my thing, ah it's my favourite hygiene
It's the confidence I need
It's medicine for the soul
It's medicine for the mind
It picks me up and makes me whole
It makes me feel alright
Here's an Ode, an ode to aerosol
It's my thing
Ah, it's my favourite hygiene, it's the confidence I need
It's medicine for the soul
It's medicine for the mind
It picks me up and makes me whole
It makes me feel alright
It's okay Oh, would I ever let you down? No way
Oh, would I ever let you down, okay?
Oh, would I ever let you down, no way
Oh, would I ever let you down...
I'll never let ya, I'll never let ya, I'll never let you down, no way
Would I ever let you let you down, no way
Would I ever let you let you down, no way
Would I ever let you let you down, no way
Would I ever let you let you down, no way"
246547,crests-of-waves,2007,coldplay,Rock,"It could be worse, I could be alone
I could be locked in here on my own
Or like a stone that suddenly drops
It never stops, no
I could be lost or I could be saved
Calling out from beneath the waves
Beaten down by the social raves
Never again; never again
Oooooo Ohhhhhhhhhhhhhhh
Oooooo Ohhhhhhhhhhhhhhh
Oooooo Ohhhhhhhhhhhhhhh
I'm screamin' out from the crests of waves
It could be worse; it's all sweet
It could be snapped from the jaws of defeat
Or like a light lit up on the beach
You wear your heart on your sleeve, Ohhhh
You want to stop before you begin
You want to sink when you know you could swim
You want to stop just before you begin
Never give in; never give in
Oooooo Ohhhhhhhhhhhhhhh
Oooooo Ohhhhhhhhhhhhhhh
Oooooo Ohhhhhhhhhhhhhhh
I'm screamin' out from the crests of waves
Oooooo Nothin' matters
Except not for the love we make
Ooooooooooo
Nothin' matters
Ooooooooooo
Except not for the love we make
Nothin' matters
Ooooooooooo
Except not for the love we make
Aaaahhhhhh
Except not for the love we make
Oooooo Ohhhhhhhhhhhhhhh
Oooooo Ohhhhhhhhhhhhhhh
Oooooo Ohhhhhhhhhhhhhhh
I'm screamin' out from the crests of waves
Oooooo Ohhhhhhhhhhhhhhh
Oooooo Ohhhhhhhhhhhhhhh
Oooooo Ohhhhhhhhhhhhhhh
I'm screamin' out from the crests of waves
Where you're longing to be saved
I'm screamin' out from the crests of waves
Where you're longing to be saved
I'm screamin' out from the crests of waves"
246548,the-scientist-con-traduccion,2007,coldplay,Rock,"Come up to meet you,
Vengo a reunirme contigo
tell you I'm sorry,
decirte que lo siento
you don't know how lovely you are.
no sabes lo encantadora que eres.
I had to find you,
Tena que encontrarte
tell you I need you,
decirte que te necesito
tell you I set you apart.
decirte que te aparte.
Tell me your secrets,
Dime tus secretos,
and ask me your questions,
y pregntame tus interrogantes,
Oh, let's go back to the start.
Oh, volvamos al comienzo.
Runnin' in circles,
Corriendo en crculos,
comin up tails,
persiguindonos,
heads on the science apart.
lideres en una ciencia apartada.
Nobody said it was easy
Nadie dijo que sera fcil
its such a shame for us to part,
es una pena para nosotros el separarnos,
nobody said it was easy,
nadie dijo que sera fcil,
no one ever said it would be this hard
nadie nunca dijo que sera as de difcil
Oh, Take me back to the start.
Oh, llvame de regreso al principio.
I was just guessing,
Slo estaba adivinando,
the numbers and figures,
los nmeros y las figuras,
pulling the puzzles apart.
destrozando los rompecabezas.
Questions of science,
Interrogantes de cientficos,
science and progress,
ciencia y progreso,
do not speak as loud as my heart.
no hablan tan fuerte como mi corazn.
Tell me you love me,
Dime que me amas,
come back and haunt me,
vuelve a frecuentarme,
Oh, when I rush to the start.
Oh, cuando me precipito al principio.
Runnin' in circles,
Corriendo en crculos,
comin up tails,
persiguindonos,
heads on the science apart.
lideres en una ciencia apartada.
Nobody said it was easy
Nadie dijo que sera fcil
its such a shame for us to part,
es una pena para nosotros el separarnos,
nobody said it was easy,
nadie dijo que sera fcil,
no one ever said it would be this hard
nadie nunca dijo que sera as de difcil
Oh, Take me back to the start.
Oh, llvame de regreso al principio.
Ow woooh wowowowo,
Ow woooh wowowowo,
Ah woooooh wowowowo,
Ah woooooh wowowowo,
Ow woooh wowowowo,
Ow woooh wowowowo,
Ow wooooh wowowowo...
Ow wooooh wowowowo..."
